year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,sourcecode,version
"2010",780,SRI,"220,966","1,242,473",0,"22,096","10,043","1,495,578",0,0,0,0,0,"1,816,110","159,755",0,0,0,0,0,"1,975,865","2,875,906","11,591,582",0,"14,467,488",0,"2,565,831",0,0,0,0,0,0,0,0,"9,481","75,835","20,514,243","20,590,078",0.0107,0.0603,0,0.0011,0.0005,0.0726,0,0,0,0,0,0.0882,0.0078,0,0,0,0,0,0.096,0.1397,0.563,0,0.7026,0,0.1246,0,0,0,0,0,0,0,0,0.0005,0.0037,0.9963,1,0,24,4,7,High,315,1.1
"2010",775,MYA,"3,200,000","805,000",0,"60,000","500,000","4,565,000",0,0,0,25,25,"2,450,000",0,0,0,0,0,0,"2,450,000",0,"43,983,776",0,"43,983,776",853,"58,808","1,593",0,"90,271",0,"3,070","107,263","119,276","7,056,956","286,983","84,093","58,723,875","58,807,968",0.0544,0.0137,0,0.001,0.0085,0.0776,0,0,0,0,0,0.0417,0,0,0,0,0,0,0.0417,0,0.7479,0,0.7479,0,0.001,0,0,0.0015,0,0.0001,0.0018,0.002,0.12,0.0049,0.0014,0.9986,1,1,24,5,20,Medium,83,1.1
"2010",771,BNG,"147,290","88,374",0,0,"58,916","294,580",0,0,0,177,177,"131,825,165","294,581",0,0,0,0,0,"132,119,746",0,0,"883,744","883,744",339,"13,256,161","21,000",0,"9,515",0,0,0,"3,152","522,808","116,581","62,885","147,227,803","147,290,688",0.001,0.0006,0,0,0.0004,0.002,0,0,0,0,0,0.895,0.002,0,0,0,0,0,0.897,0,0,0.006,0.006,0,0.09,0.0001,0,0.0001,0,0,0,0,0.0035,0.0008,0.0004,0.9996,1,0,34,99,10,Medium,99,1.1
"2010",770,PAK,"1,258,103","772,343",0,0,"833,144","2,863,590",0,0,0,0,0,"136,736,508","24,129,972",0,0,0,0,"322,935","161,189,415",0,0,"96,880","96,880","5,382","3,705,824","43,058",0,"73,198",0,0,0,"2,152","182,996","163,620","120,461","168,326,115","168,446,576",0.0075,0.0046,0,0,0.0049,0.017,0,0,0,0,0,0.8117,0.1432,0,0,0,0,0.0019,0.9569,0,0,0.0006,0.0006,0,0.022,0.0003,0,0.0004,0,0,0,0,0.0011,0.001,0.0007,0.9993,1,0,24,8,24,Medium,83,1.1
"2010",760,BHU,"3,334","2,146",0,0,"2,974","8,454",0,0,0,0,0,0,0,0,0,0,0,"6,947","6,947","525,366","58,374",0,"583,740",0,"72,169",0,0,0,0,0,0,0,"22,483",196,765,"693,989","694,754",0.0048,0.0031,0,0,0.0043,0.0122,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.7562,0.084,0,0.8402,0,0.1039,0,0,0,0,0,0,0,0.0324,0.0003,0.0011,0.9989,1,0,24,8,35,Low,83,1.1
"2010",750,IND,"8,691,861","8,926,840","2,047,651",0,"8,307,478","27,973,830",0,0,0,"5,000","5,000","136,110,500","24,019,500",0,0,0,0,0,"160,130,000",0,0,"9,241,589","9,241,589","83,642","961,401,054","22,322,975",0,"1,684,469",0,"4,908,196",0,"151,021","2,904,258","3,717,450","476,516","1,194,523,484","1,195,000,000",0.0073,0.0075,0.0017,0,0.007,0.0234,0,0,0,0,0,0.1139,0.0201,0,0,0,0,0,0.134,0,0,0.0077,0.0077,0.0001,0.8045,0.0187,0,0.0014,0,0.0041,0,0.0001,0.0024,0.0031,0.0004,0.9996,1,0,24,4,8,Medium,313,1.1
"2010",740,JPN,"1,307,988","1,072,810","47,680","47,680","23,840","2,499,998",0,0,0,"1,000","1,000",0,0,0,0,0,0,"195,001","195,001",0,0,"88,035,713","88,035,713",0,"23,500","2,000","108,000,000","15,000",0,"1,500","120,000","295,000","12,000","12,107,911",0,"211,308,623","127,451,704",0.0103,0.0084,0.0004,0.0004,0.0002,0.0196,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0.6907,0.6907,0,0.0002,0,0.8474,0.0001,0,0,0.0009,0.0023,0.0001,0.095,0,1.658,1.658,1,24,5,10,Medium,83,1.1
"2010",732,ROK,"8,748,356","5,224,935",0,0,0,"13,973,291",0,0,0,101,101,0,0,0,0,0,0,"71,071","71,071",0,0,"11,022,677","11,022,677",0,0,0,"29,951","30,459",0,0,"329,544","45,688","511,716","22,199,939","660,563","48,214,437","48,875,000",0.179,0.1069,0,0,0,0.2859,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0.2255,0.2255,0,0,0,0.0006,0.0006,0,0,0.0067,0.0009,0.0105,0.4542,0.0135,0.9865,1,0,34,7,28,Low,99,1.1
"2010",731,PRK,"10,147","40,591",0,0,"355,172","405,910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,116,257","1,116,257",0,0,0,0,0,0,0,"3,171,257","15,197","3,903,086","15,690,406","92,175","24,302,113","24,394,288",0.0004,0.0017,0,0,0.0146,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458,0.0458,0,0,0,0,0,0,0,0.13,0.0006,0.16,0.6432,0.0038,0.9962,1,0,24,9,28,Low,311,1.1
"2010",713,TAW,"629,753","310,192",0,0,"291,456","1,231,401",0,0,0,100,100,"65,000","12,000",0,0,0,0,"25,000","102,000",0,0,"5,710,455","5,710,455",0,0,0,0,"16,654","4,731,996",0,"13,011","9,120,490","58,291","1,593,900","191,702","22,578,298","22,770,000",0.0277,0.0136,0,0,0.0128,0.0541,0,0,0,0,0,0.0029,0.0005,0,0,0,0,0.0011,0.0045,0,0,0.2508,0.2508,0,0,0,0,0.0007,0.2078,0,0.0006,0.4005,0.0026,0.07,0.0084,0.9916,1,0,24,4,8,High,83,1.1
